order_no 订单号
tenant 租户
source_type 数据源
product_no 产品编码
channel_product_no 触点产品编码
product_name 产品名称
dnseg 归属地
job_number 工号
job_name 工号名称
phone 电话号码
net_stop 网别
handle_time 处理时间
order_status 订单状态
fail_time 失败时间
fail_code 失败编码
fail_msg 失败详情
create_time 创建时间
strategy 策略
product_groups 产品组
keyword_groups 关键字组
keyword_product_strategy 策略详情
strategy_status 策略状态
strategy_remarks 策略备注
strategy_data 策略数据
